pin,slack
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:ADn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:ALn,4649
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:CLK,6205
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:D,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:EN,3546
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:LAT,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:Q,6205
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:SD,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31_set:SLn,
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:CC[0],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:CC[1],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:CI,
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[0],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[10],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[11],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[1],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[2],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[3],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[4],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[5],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[6],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[7],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[8],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:P[9],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[0],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[10],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[11],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[1],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[2],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[3],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[4],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[5],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[6],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[7],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[8],
LCD_RGB_0/data_reg_2_8_0__m87_1_0_wmux_CC_0:UB[9],
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:ALn,4649
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:CLK,5960
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:D,7228
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:Q,5960
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:SD,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:SLn,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:ALn,4649
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:CLK,6082
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:D,7057
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:Q,6082
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:SD,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:SLn,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:A,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:B,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:C,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:IPB,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[2],34142
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[3],34165
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[4],33998
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[5],33901
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[6],33508
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[7],33510
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[8],33551
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR[9],33574
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR_ARST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR_CLK,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR_LAT,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_ADDR_SRST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_BLK[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_BLK[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT[0],34410
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT[1],33508
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT[2],33550
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT[3],33530
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT_ARST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT_CLK,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT_LAT,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_DOUT_SRST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_WIDTH[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_WIDTH[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:A_WIDTH[2],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[2],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[3],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[4],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[5],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[6],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[7],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[8],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR[9],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR_ARST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR_CLK,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR_LAT,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_ADDR_SRST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_BLK[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_BLK[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_DOUT_ARST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_DOUT_CLK,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_DOUT_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_DOUT_LAT,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_DOUT_SRST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_WIDTH[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_WIDTH[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:B_WIDTH[2],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[2],40616
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[3],40601
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[4],40489
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[5],40506
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[6],40437
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[7],40419
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[8],40430
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ADDR[9],40476
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_ARST_N,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_BLK[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_BLK[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_CLK,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[0],33196
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[10],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[11],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[12],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[13],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[14],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[15],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[16],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[17],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[1],33106
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[2],33127
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[3],33134
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[4],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[5],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[6],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[7],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[8],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_DIN[9],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_EN,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_WEN,37303
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_WIDTH[0],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_WIDTH[1],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:C_WIDTH[2],
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/INST_RAM64x18_IP:SII_LOCK,
reg_apb_wrp_0/reg16x8_0/mem_3__RNIHIVR[0]:A,5148
reg_apb_wrp_0/reg16x8_0/mem_3__RNIHIVR[0]:B,
reg_apb_wrp_0/reg16x8_0/mem_3__RNIHIVR[0]:C,4975
reg_apb_wrp_0/reg16x8_0/mem_3__RNIHIVR[0]:Y,4975
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:ALn,4649
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:CLK,6077
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:D,7324
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:Q,6077
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:SD,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:ADn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:ALn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:CLK,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:D,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:EN,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:LAT,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:Q,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:SD,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_187_rs:SLn,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:A,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:B,2840
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:C,
FPGA_SoC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:IPB,2840
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:ALn,4649
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:CLK,4975
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:D,7280
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:EN,3546
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:Q,4975
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:SD,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_22_set_RNIOHIQ:A,5091
reg_apb_wrp_0/reg16x8_0/un1_data_out8_22_set_RNIOHIQ:B,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_22_set_RNIOHIQ:C,4926
reg_apb_wrp_0/reg16x8_0/un1_data_out8_22_set_RNIOHIQ:Y,4926
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/CFG_15:B,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/CFG_15:C,33134
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/CFG_15:IPB,
LCD_RGB_0/color_word_lsb_color_word_lsb_0_1/CFG_15:IPC,33134
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:ADn,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:ALn,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:CLK,5090
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:D,7514
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:EN,3049
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:LAT,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:Q,5090
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:SD,
corepwm_0/genblk3_corepwm_reg_if/gen_pos_neg_shregs[1]_psh_negedge_reg[11]:SLn,
PWMctr_0/h_time_4_cry_2:A,7091
PWMctr_0/h_time_4_cry_2:B,5100
PWMctr_0/h_time_4_cry_2:CC,
PWMctr_0/h_time_4_cry_2:P,5100
PWMctr_0/h_time_4_cry_2:UB,
PWMctr_0/h_time_4_cry_2:Y,5937
